sex	park_yn	n_users	ATC_code
2	FALSE	142313	M05
1	TRUE	161	M05
2	TRUE	882	M05
1	FALSE	12431	N01
2	FALSE	15939	N01
1	TRUE	47	N01
2	TRUE	29	N01
1	FALSE	770497	N02
2	FALSE	981897	N02
1	TRUE	3459	N02
2	TRUE	3286	N02
1	FALSE	113327	N03
2	FALSE	145626	N03
1	TRUE	601	N03
2	TRUE	583	N03
1	FALSE	461737	N05
2	FALSE	720956	N05
1	TRUE	3009	N05
2	TRUE	3456	N05
1	FALSE	264446	N06
2	FALSE	438978	N06
1	TRUE	2010	N06
2	TRUE	2097	N06
1	FALSE	61244	N07
2	FALSE	69255	N07
1	TRUE	113	N07
2	TRUE	107	N07
1	FALSE	71401	P01
2	FALSE	124607	P01
1	TRUE	239	P01
2	TRUE	230	P01
1	FALSE	534	P02
2	FALSE	882	P02
1	TRUE	3	P02
2	TRUE	1	P02
1	FALSE	294933	R01
2	FALSE	413032	R01
1	TRUE	1250	R01
2	TRUE	922	R01
1	FALSE	271161	R03
2	FALSE	346609	R03
1	TRUE	1265	R03
2	TRUE	985	R03
1	FALSE	415234	R05
2	FALSE	610030	R05
1	TRUE	2079	R05
2	TRUE	1612	R05
1	FALSE	315034	R06
2	FALSE	501312	R06
1	TRUE	1309	R06
2	TRUE	1376	R06
1	FALSE	459353	S01
2	FALSE	690142	S01
1	TRUE	2763	S01
2	TRUE	2469	S01
1	FALSE	17888	S02
2	FALSE	21690	S02
1	TRUE	70	S02
2	TRUE	50	S02
1	FALSE	74330	S03
2	FALSE	91923	S03
1	TRUE	321	S03
2	TRUE	228	S03
