sex	park_yn	n_users	ATC_code
1	FALSE	26730	A01
2	FALSE	40405	A01
1	TRUE	110	A01
2	TRUE	119	A01
1	FALSE	394568	A02
2	FALSE	471253	A02
1	TRUE	2079	A02
2	TRUE	1625	A02
1	FALSE	61755	A03
2	FALSE	129286	A03
1	TRUE	226	A03
2	TRUE	358	A03
1	FALSE	31538	A04
2	FALSE	52914	A04
1	TRUE	54	A04
2	TRUE	95	A04
1	FALSE	1716	A05
2	FALSE	4394	A05
1	TRUE	7	A05
2	TRUE	12	A05
1	FALSE	69804	A06
2	FALSE	90329	A06
1	TRUE	333	A06
2	TRUE	289	A06
1	FALSE	68955	A07
2	FALSE	107982	A07
1	TRUE	297	A07
2	TRUE	322	A07
1	FALSE	19116	A08
2	FALSE	68824	A08
1	TRUE	87	A08
2	TRUE	168	A08
1	FALSE	7524	A09
2	FALSE	10049	A09
1	TRUE	38	A09
2	TRUE	34	A09
1	FALSE	152191	A10
2	FALSE	121186	A10
1	TRUE	968	A10
2	TRUE	525	A10
1	FALSE	164289	A11
2	FALSE	229743	A11
1	TRUE	877	A11
2	TRUE	645	A11
1	FALSE	91303	A12
2	FALSE	272420	A12
1	TRUE	487	A12
2	TRUE	1106	A12
1	FALSE	592	A14
2	FALSE	2905	A14
1	TRUE	5	A14
2	TRUE	12	A14
1	FALSE	259	A16
2	FALSE	632	A16
1	TRUE	2	A16
2	TRUE	3	A16
1	FALSE	512239	B01
2	FALSE	457376	B01
1	TRUE	4512	B01
2	TRUE	2501	B01
1	FALSE	2087	B02
2	FALSE	38282	B02
1	TRUE	6	B02
2	TRUE	32	B02
1	FALSE	155359	B03
2	FALSE	251351	B03
1	TRUE	900	B03
2	TRUE	814	B03
1	FALSE	2984	B05
2	FALSE	3598	B05
1	TRUE	5	B05
2	TRUE	4	B05
1	FALSE	162359	C01
2	FALSE	147090	C01
1	TRUE	1391	C01
2	TRUE	770	C01
1	FALSE	33610	C02
2	FALSE	15522	C02
1	TRUE	327	C02
2	TRUE	48	C02
1	FALSE	226261	C03
2	FALSE	314450	C03
1	TRUE	1532	C03
2	TRUE	1548	C03
1	FALSE	2154	C04
2	FALSE	1863	C04
1	TRUE	12	C04
2	TRUE	10	C04
1	FALSE	76447	C05
2	FALSE	98461	C05
1	TRUE	347	C05
2	TRUE	268	C05
1	FALSE	365359	C07
2	FALSE	364290	C07
1	TRUE	3172	C07
2	TRUE	2182	C07
1	FALSE	262038	C08
2	FALSE	261714	C08
1	TRUE	1968	C08
2	TRUE	1261	C08
1	FALSE	491366	C09
2	FALSE	466670	C09
1	TRUE	3418	C09
2	TRUE	2238	C09
1	FALSE	470328	C10
2	FALSE	407472	C10
1	TRUE	3576	C10
2	TRUE	2283	C10
1	FALSE	198537	D01
2	FALSE	164143	D01
1	TRUE	1019	D01
2	TRUE	494	D01
1	FALSE	16401	D02
2	FALSE	23668	D02
1	TRUE	12	D02
2	TRUE	10	D02
1	FALSE	2065	D04
2	FALSE	3938	D04
1	TRUE	10	D04
2	TRUE	9	D04
1	FALSE	41154	D05
2	FALSE	36935	D05
1	TRUE	182	D05
2	TRUE	99	D05
1	FALSE	97541	D06
2	FALSE	161873	D06
1	TRUE	434	D06
2	TRUE	395	D06
1	FALSE	379443	D07
2	FALSE	469687	D07
1	TRUE	2006	D07
2	TRUE	1461	D07
1	FALSE	10609	D08
2	FALSE	14759	D08
1	TRUE	37	D08
2	TRUE	32	D08
1	FALSE	1163	D09
2	FALSE	1786	D09
1	TRUE	3	D09
2	TRUE	5	D09
1	FALSE	21534	D10
2	FALSE	56287	D10
1	TRUE	77	D10
2	TRUE	90	D10
1	FALSE	19794	D11
2	FALSE	28597	D11
1	TRUE	86	D11
2	TRUE	50	D11
1	FALSE	182	G01
2	FALSE	68679	G01
2	TRUE	74	G01
1	FALSE	988	G02
2	FALSE	95941	G02
1	TRUE	8	G02
2	TRUE	18	G02
1	FALSE	23846	G03
2	FALSE	716309	G03
1	TRUE	122	G03
2	TRUE	2045	G03
1	FALSE	386265	G04
2	FALSE	105375	G04
1	TRUE	3252	G04
2	TRUE	702	G04
1	FALSE	5096	H01
2	FALSE	34040	H01
1	TRUE	64	H01
2	TRUE	34	H01
1	FALSE	250596	H02
2	FALSE	323803	H02
1	TRUE	924	H02
2	TRUE	877	H02
1	FALSE	56246	H03
2	FALSE	212819	H03
1	TRUE	411	H03
2	TRUE	940	H03
1	FALSE	4205	H04
2	FALSE	3324	H04
1	TRUE	14	H04
2	TRUE	11	H04
1	FALSE	1764	H05
2	FALSE	4076	H05
1	TRUE	6	H05
2	TRUE	15	H05
1	FALSE	1035772	J01
2	FALSE	1252565	J01
1	TRUE	4798	J01
2	TRUE	3893	J01
1	FALSE	15796	J02
2	FALSE	86601	J02
1	TRUE	49	J02
2	TRUE	119	J02
1	FALSE	2351	J04
2	FALSE	1982	J04
1	TRUE	17	J04
2	TRUE	7	J04
1	FALSE	35750	J05
2	FALSE	49980	J05
1	TRUE	108	J05
2	TRUE	87	J05
1	FALSE	447	J06
2	FALSE	717	J06
1	TRUE	1	J06
2	TRUE	1	J06
1	FALSE	83648	J07
2	FALSE	107220	J07
1	TRUE	331	J07
2	TRUE	232	J07
1	FALSE	20462	L01
2	FALSE	19527	L01
1	TRUE	38	L01
2	TRUE	20	L01
1	FALSE	43394	L02
2	FALSE	46077	L02
1	TRUE	285	L02
2	TRUE	128	L02
1	FALSE	13029	L03
2	FALSE	21911	L03
1	TRUE	26	L03
2	TRUE	32	L03
1	FALSE	43299	L04
2	FALSE	55776	L04
1	TRUE	138	L04
2	TRUE	159	L04
1	FALSE	910848	M01
2	FALSE	1063612	M01
1	TRUE	4322	M01
2	TRUE	3581	M01
1	FALSE	54290	M02
2	FALSE	92416	M02
1	TRUE	192	M02
2	TRUE	230	M02
1	FALSE	29751	M03
2	FALSE	55050	M03
1	TRUE	167	M03
2	TRUE	199	M03
1	FALSE	80511	M04
2	FALSE	37614	M04
1	TRUE	472	M04
2	TRUE	124	M04
1	FALSE	23322	M05
