park_yn	n_users	ATC_code
TRUE	24	A01
FALSE	9628	A01
TRUE	1861	A02
FALSE	420419	A02
TRUE	122	A03
FALSE	25506	A03
TRUE	4	A04
FALSE	4121	A04
TRUE	12	A05
FALSE	2376	A05
TRUE	39	A06
FALSE	17050	A06
TRUE	159	A07
FALSE	44526	A07
TRUE	91	A08
FALSE	31026	A08
TRUE	31	A09
FALSE	6971	A09
TRUE	789	A10
FALSE	158515	A10
TRUE	451	A11
FALSE	124563	A11
TRUE	683	A12
FALSE	178585	A12
TRUE	5	A14
FALSE	1002	A14
TRUE	4628	B01
FALSE	618520	B01
TRUE	5	B02
FALSE	5117	B02
TRUE	397	B03
FALSE	131106	B03
TRUE	807	C01
FALSE	131130	C01
TRUE	220	C02
FALSE	28335	C02
TRUE	1488	C03
FALSE	287386	C03
TRUE	8	C04
FALSE	1672	C04
TRUE	51	C05
FALSE	12840	C05
TRUE	3586	C07
FALSE	521034	C07
TRUE	2188	C08
FALSE	366730	C08
TRUE	4254	C09
FALSE	764524	C09
TRUE	4407	C10
FALSE	688380	C10
TRUE	92	D01
FALSE	30084	D01
FALSE	7012	D02
TRUE	61	D05
FALSE	19868	D05
TRUE	65	D06
FALSE	18763	D06
TRUE	570	D07
FALSE	168916	D07
TRUE	1	D08
FALSE	828	D08
TRUE	32	D10
FALSE	12752	D10
TRUE	10	D11
FALSE	4866	D11
TRUE	8	G02
FALSE	9963	G02
TRUE	1148	G03
FALSE	427219	G03
TRUE	1903	G04
FALSE	243272	G04
TRUE	32	H01
FALSE	5485	H01
TRUE	493	H02
FALSE	154027	H02
TRUE	1008	H03
FALSE	209836	H03
TRUE	5	H04
FALSE	2205	H04
TRUE	11	H05
FALSE	3302	H05
TRUE	1676	J01
FALSE	656975	J01
TRUE	9	J02
FALSE	13259	J02
TRUE	2	J04
FALSE	503	J04
TRUE	22	J05
FALSE	14329	J05
TRUE	7	J07
FALSE	3065	J07
TRUE	18	L01
FALSE	7671	L01
TRUE	224	L02
FALSE	52505	L02
TRUE	8	L03
FALSE	5588	L03
TRUE	163	L04
FALSE	58976	L04
TRUE	2277	M01
FALSE	675771	M01
TRUE	24	M02
FALSE	10105	M02
TRUE	96	M03
FALSE	23752	M03
TRUE	355	M04
FALSE	70270	M04
TRUE	598	M05
FALSE	106846	M05
TRUE	5	N01
FALSE	2226	N01
TRUE	1813	N02
FALSE	528294	N02
TRUE	407	N03
FALSE	89972	N03
TRUE	2843	N05
FALSE	562202	N05
TRUE	1940	N06
FALSE	352126	N06
TRUE	32	N07
FALSE	21643	N07
TRUE	31	P01
FALSE	14054	P01
TRUE	721	R01
FALSE	246698	R01
TRUE	703	R03
FALSE	205785	R03
TRUE	466	R05
FALSE	161208	R05
TRUE	1205	R06
FALSE	399806	R06
TRUE	1107	S01
FALSE	249642	S01
TRUE	9	S02
FALSE	4628	S02
TRUE	48	S03
FALSE	19258	S03
