sex	park_yn	n_users	ATC_code
1	TRUE	2625	M01
2	TRUE	2489	M01
1	FALSE	11433	M02
2	FALSE	25410	M02
1	TRUE	21	M02
2	TRUE	51	M02
1	FALSE	16316	M03
2	FALSE	32477	M03
1	TRUE	91	M03
2	TRUE	119	M03
1	FALSE	67546	M04
2	FALSE	30261	M04
1	TRUE	396	M04
2	TRUE	100	M04
1	FALSE	19087	M05
2	FALSE	123547	M05
1	TRUE	126	M05
2	TRUE	731	M05
1	FALSE	3788	N01
2	FALSE	4605	N01
1	TRUE	9	N01
2	TRUE	12	N01
1	FALSE	465424	N02
2	FALSE	700883	N02
1	TRUE	1970	N02
2	TRUE	2249	N02
1	FALSE	81742	N03
2	FALSE	106659	N03
1	TRUE	440	N03
2	TRUE	424	N03
1	FALSE	341842	N05
2	FALSE	572560	N05
1	TRUE	2218	N05
2	TRUE	2773	N05
1	FALSE	204739	N06
2	FALSE	358576	N06
1	TRUE	1558	N06
2	TRUE	1732	N06
1	FALSE	27544	N07
2	FALSE	32957	N07
1	TRUE	49	N07
2	TRUE	58	N07
1	FALSE	15315	P01
2	FALSE	32589	P01
1	TRUE	54	P01
2	TRUE	55	P01
1	FALSE	180012	R01
2	FALSE	261804	R01
1	TRUE	752	R01
2	TRUE	566	R01
1	FALSE	203151	R03
2	FALSE	261103	R03
1	TRUE	942	R03
2	TRUE	756	R03
1	FALSE	194871	R05
2	FALSE	313549	R05
1	TRUE	918	R05
2	TRUE	724	R05
1	FALSE	220041	R06
2	FALSE	368458	R06
1	TRUE	877	R06
2	TRUE	985	R06
1	FALSE	242436	S01
2	FALSE	412622	S01
1	TRUE	1523	S01
2	TRUE	1499	S01
1	FALSE	6624	S02
2	FALSE	8493	S02
1	TRUE	23	S02
2	TRUE	18	S02
1	FALSE	27175	S03
2	FALSE	35851	S03
1	TRUE	117	S03
2	TRUE	79	S03
