sex	park_yn	n_users	ATC_code
1	FALSE	44085	L04
2	FALSE	56644	L04
1	TRUE	121	L04
2	TRUE	133	L04
1	FALSE	935526	M01
2	FALSE	1084374	M01
1	TRUE	3910	M01
2	TRUE	3121	M01
1	FALSE	57642	M02
2	FALSE	96438	M02
1	TRUE	160	M02
2	TRUE	197	M02
1	FALSE	31620	M03
2	FALSE	57204	M03
1	TRUE	143	M03
2	TRUE	184	M03
1	FALSE	82120	M04
2	FALSE	38525	M04
1	TRUE	394	M04
2	TRUE	110	M04
1	FALSE	23683	M05
2	FALSE	143495	M05
1	TRUE	135	M05
2	TRUE	722	M05
1	FALSE	15340	N01
2	FALSE	19474	N01
1	TRUE	40	N01
2	TRUE	26	N01
1	FALSE	834907	N02
2	FALSE	1032891	N02
1	TRUE	3153	N02
2	TRUE	2853	N02
1	FALSE	120169	N03
2	FALSE	152999	N03
1	TRUE	506	N03
2	TRUE	474	N03
1	FALSE	15636	N04
2	FALSE	20045	N04
1	FALSE	481202	N05
2	FALSE	737440	N05
1	TRUE	2608	N05
2	TRUE	2896	N05
1	FALSE	272561	N06
2	FALSE	447771	N06
1	TRUE	1710	N06
2	TRUE	1710	N06
1	FALSE	71372	N07
2	FALSE	77070	N07
1	TRUE	105	N07
2	TRUE	95	N07
1	FALSE	83146	P01
2	FALSE	138788	P01
1	TRUE	257	P01
2	TRUE	209	P01
1	FALSE	945	P02
2	FALSE	1525	P02
1	TRUE	5	P02
2	TRUE	1	P02
1	FALSE	1268	P03
2	FALSE	1201	P03
1	FALSE	309232	R01
2	FALSE	429957	R01
1	TRUE	1124	R01
2	TRUE	813	R01
1	FALSE	64	R02
2	FALSE	60	R02
1	FALSE	285554	R03
2	FALSE	361903	R03
1	TRUE	1105	R03
2	TRUE	867	R03
1	FALSE	447386	R05
2	FALSE	643627	R05
1	TRUE	1919	R05
2	TRUE	1447	R05
1	FALSE	324213	R06
2	FALSE	512011	R06
1	TRUE	1154	R06
2	TRUE	1202	R06
1	FALSE	545425	S01
2	FALSE	774468	S01
1	TRUE	2677	S01
2	TRUE	2237	S01
1	FALSE	19524	S02
2	FALSE	23191	S02
1	TRUE	63	S02
2	TRUE	47	S02
1	FALSE	79196	S03
2	FALSE	96921	S03
1	TRUE	269	S03
2	TRUE	215	S03
