park_yn	n_users	ATC_code
TRUE	229	A01
FALSE	67135	A01
TRUE	3704	A02
FALSE	865821	A02
TRUE	584	A03
FALSE	191041	A03
TRUE	149	A04
FALSE	84452	A04
TRUE	19	A05
FALSE	6110	A05
TRUE	622	A06
FALSE	160133	A06
TRUE	619	A07
FALSE	176937	A07
TRUE	255	A08
FALSE	87940	A08
TRUE	72	A09
FALSE	17573	A09
TRUE	1493	A10
FALSE	273377	A10
TRUE	1522	A11
FALSE	394032	A11
TRUE	1593	A12
FALSE	363723	A12
TRUE	17	A14
FALSE	3497	A14
TRUE	5	A16
FALSE	891	A16
TRUE	7013	B01
FALSE	969615	B01
TRUE	38	B02
FALSE	40369	B02
TRUE	1714	B03
FALSE	406710	B03
TRUE	9	B05
FALSE	6582	B05
TRUE	2161	C01
FALSE	309449	C01
TRUE	375	C02
FALSE	49132	C02
TRUE	3080	C03
FALSE	540711	C03
TRUE	22	C04
FALSE	4017	C04
TRUE	615	C05
FALSE	174908	C05
TRUE	5354	C07
FALSE	729649	C07
TRUE	3229	C08
FALSE	523752	C08
TRUE	5656	C09
FALSE	958036	C09
TRUE	5859	C10
FALSE	877800	C10
TRUE	1513	D01
FALSE	362680	D01
TRUE	22	D02
FALSE	40069	D02
TRUE	19	D04
FALSE	6003	D04
TRUE	281	D05
FALSE	78089	D05
TRUE	829	D06
FALSE	259414	D06
TRUE	3467	D07
FALSE	849130	D07
TRUE	69	D08
FALSE	25368	D08
TRUE	8	D09
FALSE	2949	D09
TRUE	167	D10
FALSE	77821	D10
TRUE	136	D11
FALSE	48391	D11
TRUE	74	G01
FALSE	68861	G01
TRUE	26	G02
FALSE	96929	G02
TRUE	2167	G03
FALSE	740155	G03
TRUE	3954	G04
FALSE	491640	G04
TRUE	98	H01
FALSE	39136	H01
TRUE	1801	H02
FALSE	574399	H02
TRUE	1351	H03
FALSE	269065	H03
TRUE	25	H04
FALSE	7529	H04
TRUE	21	H05
FALSE	5840	H05
TRUE	8691	J01
FALSE	2288337	J01
TRUE	168	J02
FALSE	102397	J02
TRUE	24	J04
FALSE	4333	J04
TRUE	195	J05
FALSE	85730	J05
TRUE	2	J06
FALSE	1164	J06
TRUE	563	J07
FALSE	190868	J07
TRUE	58	L01
FALSE	39989	L01
TRUE	413	L02
FALSE	89471	L02
TRUE	58	L03
FALSE	34940	L03
TRUE	297	L04
FALSE	99075	L04
TRUE	7903	M01
FALSE	1974460	M01
TRUE	422	M02
FALSE	146706	M02
TRUE	366	M03
FALSE	84801	M03
TRUE	596	M04
FALSE	118125	M04
TRUE	1043	M05
FALSE	165635	M05
TRUE	76	N01
FALSE	28370	N01
TRUE	6745	N02
FALSE	1752394	N02
TRUE	1184	N03
FALSE	258953	N03
TRUE	6465	N05
FALSE	1182693	N05
TRUE	4107	N06
FALSE	703424	N06
TRUE	220	N07
FALSE	130499	N07
TRUE	469	P01
FALSE	196008	P01
TRUE	4	P02
FALSE	1416	P02
TRUE	2172	R01
FALSE	707965	R01
TRUE	2250	R03
FALSE	617770	R03
TRUE	3691	R05
FALSE	1025264	R05
TRUE	2685	R06
FALSE	816346	R06
TRUE	5232	S01
FALSE	1149495	S01
TRUE	120	S02
FALSE	39578	S02
TRUE	549	S03
FALSE	166253	S03
