park_yn	n_users	ATC_code
TRUE	32	A01
FALSE	13440	A01
TRUE	903	A02
FALSE	374533	A02
TRUE	83	A03
FALSE	52556	A03
TRUE	24	A04
FALSE	14150	A04
TRUE	6	A05
FALSE	2096	A05
TRUE	25	A06
FALSE	17761	A06
TRUE	144	A07
FALSE	65755	A07
TRUE	121	A08
FALSE	77020	A08
TRUE	19	A09
FALSE	6063	A09
TRUE	405	A10
FALSE	137711	A10
TRUE	161	A11
FALSE	97638	A11
TRUE	204	A12
FALSE	101451	A12
TRUE	7	A14
FALSE	1579	A14
TRUE	1	A16
FALSE	465	A16
TRUE	1768	B01
FALSE	461537	B01
TRUE	11	B02
FALSE	20134	B02
TRUE	251	B03
FALSE	137802	B03
FALSE	675	B05
TRUE	424	C01
FALSE	126336	C01
TRUE	103	C02
FALSE	24407	C02
TRUE	658	C03
FALSE	241168	C03
TRUE	3	C04
FALSE	1440	C04
TRUE	152	C05
FALSE	82255	C05
TRUE	1425	C07
FALSE	376609	C07
TRUE	831	C08
FALSE	245450	C08
TRUE	1727	C09
FALSE	507109	C09
TRUE	1849	C10
FALSE	489002	C10
TRUE	285	D01
FALSE	151941	D01
TRUE	1	D02
FALSE	1073	D02
TRUE	2	D04
FALSE	901	D04
TRUE	78	D05
FALSE	42013	D05
TRUE	175	D06
FALSE	117308	D06
TRUE	904	D07
FALSE	441650	D07
TRUE	9	D08
FALSE	7042	D08
TRUE	1	D09
FALSE	846	D09
TRUE	38	D10
FALSE	41886	D10
TRUE	22	D11
FALSE	14307	D11
TRUE	22	G01
FALSE	34917	G01
TRUE	8	G02
FALSE	45504	G02
TRUE	792	G03
FALSE	534127	G03
TRUE	859	G04
FALSE	208657	G04
TRUE	20	H01
FALSE	24101	H01
TRUE	345	H02
FALSE	213338	H02
TRUE	460	H03
FALSE	171606	H03
TRUE	9	H04
FALSE	4547	H04
TRUE	1	H05
FALSE	962	H05
TRUE	2350	J01
FALSE	1481721	J01
TRUE	49	J02
FALSE	55313	J02
TRUE	3	J04
FALSE	1336	J04
TRUE	48	J05
FALSE	36965	J05
FALSE	364	J06
TRUE	103	J07
FALSE	61857	J07
TRUE	9	L01
FALSE	4541	L01
TRUE	76	L02
FALSE	27420	L02
TRUE	9	L03
FALSE	10880	L03
TRUE	78	L04
FALSE	45318	L04
TRUE	2492	M01
FALSE	1344274	M01
TRUE	42	M02
FALSE	32148	M02
TRUE	116	M03
FALSE	68860	M03
TRUE	129	M04
FALSE	40189	M04
TRUE	171	M05
FALSE	63322	M05
TRUE	8	N01
FALSE	6798	N01
TRUE	1500	N02
FALSE	889506	N02
TRUE	212	N03
FALSE	114587	N03
TRUE	1663	N05
FALSE	679511	N05
TRUE	837	N06
FALSE	393148	N06
TRUE	42	N07
FALSE	65534	N07
TRUE	104	P01
FALSE	87118	P01
FALSE	448	P02
TRUE	673	R01
FALSE	418986	R01
TRUE	672	R03
FALSE	331945	R03
TRUE	845	R05
FALSE	516812	R05
TRUE	854	R06
FALSE	503182	R06
TRUE	1071	S01
FALSE	580578	S01
TRUE	20	S02
FALSE	14230	S02
TRUE	134	S03
FALSE	82982	S03
